"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
42742018,4274,2018,"IA0010000","IA0010000","","N","N",,"I","ADAIR","ADAIR CO SO GREENFIELD","Adair","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",6959,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",6,4,10,0,5,5,0,0,01-JAN-91,01-JAN-92,,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
42752018,4275,2018,"IA0020000","IA0020000","","N","N",,"I","ADAMS","ADAMS CO SO CORNING","Adams","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",3635,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-91,01-JAN-92,,,,,"N","ADAMS","Non-MSA","Y","Y","Y"
42762018,4276,2018,"IA0030000","IA0030000","","N","N",,"I","ALLAMAKEE","ALLAMAKEE CO SO WAUKON","Allamakee","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",7383,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,3,11,0,7,7,0,0,01-JAN-91,01-OCT-95,,,,,"N","ALLAMAKEE","Non-MSA","Y","Y","Y"
42772018,4277,2018,"IA0030100","IA0030100","","N","N",,"I","WAUKON","WAUKON PD","Waukon","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",3666,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,0,0,0,0,0,01-JAN-91,01-NOV-12,,,,,"N","ALLAMAKEE","Non-MSA","Y","Y","Y"
42782018,4278,2018,"IA0040000","IA0040000","","N","N",,"I","APPANOOSE","APPANOOSE CO SO CENTERVILLE","Appanoose","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",6844,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,4,12,0,4,4,0,0,01-JAN-91,01-JAN-92,,,,,"N","APPANOOSE","Non-MSA","Y","Y","Y"
42792018,4279,2018,"IA0040100","IA0040100","","N","N",,"I","CENTERVILLE","CENTERVILLE PD","Centerville","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",5420,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,1,12,0,6,6,0,0,01-JAN-91,01-JAN-92,,,,,"N","APPANOOSE","Non-MSA","Y","Y","Y"
42802018,4280,2018,"IA0050000","IA0050000","","N","N",,"I","AUDUBON","AUDUBON CO SO AUDUBON","Audubon","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",3593,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",5,0,5,0,4,4,0,0,01-JAN-91,01-JAN-92,,,,,"N","AUDUBON","Non-MSA","Y","Y","Y"
42812018,4281,2018,"IA0050100","IA0050100","","N","N",,"I","AUDUBON","AUDUBON PD","Audubon","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",1907,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,1,0,1,0,0,01-JAN-91,01-JAN-92,,,,,"N","AUDUBON","Non-MSA","Y","Y","Y"
42822018,4282,2018,"IA0060000","IA0060000","","N","N",,"I","BENTON","BENTON CO SO VINTON","Benton","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",18023,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-91,01-JAN-92,,,,,"N","BENTON","Cedar Rapids, IA","Y","Y","Y"
42842018,4284,2018,"IA0060200","IA0060200","","N","N",,"I","VINTON","VINTON PD","Vinton","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",5095,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,1,1,2,0,0,01-JAN-91,01-JAN-92,,,,,"N","BENTON","Cedar Rapids, IA","Y","Y","Y"
