"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
80832016,8083,2016,"ME0010100","ME0010100","","N","N",,"I","AUBURN","AUBURN PD","Auburn","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",22836,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",51,3,54,2,5,7,0,0,01-JUL-03,01-APR-07,,01-APR-12,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
80842016,8084,2016,"ME0010200","ME0010200","","N","N",,"I","LEWISTON","LEWISTON PD","Lewiston","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",36126,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",73,3,76,7,8,15,0,0,01-JUL-03,01-JAN-07,,01-APR-12,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
80862016,8086,2016,"ME0010500","ME0010500","","N","N",,"I","LISBON","LISBON POLICE DEPARTMENT","Lisbon","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",8823,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,5,15,2,1,3,0,0,01-JUL-03,01-APR-07,,01-JUN-12,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
81132016,8113,2016,"ME0030600","ME0030600","","N","N",,"I","SOUTH PORTLAND","SOUTH PORTLAND PD SOUTH PORTLAND","South Portland","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",25674,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",49,3,52,4,3,7,0,0,01-JUL-03,01-JAN-05,01-FEB-05,01-APR-12,,,"N","CUMBERLAND","Portland-South Portland, ME","Y","Y","Y"
81142016,8114,2016,"ME0030700","ME0030700","","N","N",,"I","SCARBOROUGH","SCARBOROUGH PD","Scarborough","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",19851,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",34,12,46,6,6,12,0,0,01-JUL-03,01-JAN-05,01-JAN-05,01-JUN-12,,,"N","CUMBERLAND","Portland-South Portland, ME","Y","Y","Y"
81272016,8127,2016,"ME0040000","ME0040000","","N","N",,"I","FRANKLIN","FRANKLIN CO SO FARMINGTON","Franklin","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","County",11893,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,0,19,1,1,2,0,0,01-JUL-03,01-JAN-13,,01-MAY-13,,,"N","FRANKLIN","Non-MSA","Y","Y","Y"
81282016,8128,2016,"ME0040100","ME0040100","","N","N",,"I","FARMINGTON","FARMINGTON PD","Farmington","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",7401,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,1,1,2,0,0,01-JUL-03,01-JAN-13,,01-MAY-13,,,"N","FRANKLIN","Non-MSA","Y","Y","Y"
81332016,8133,2016,"ME0040700","ME0040700","","N","N",,"I","CARRABASSETT VALLEY","CARRABSSETT VALLEY POLICE DEPARTMENT","Carrabassett Valley","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",772,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JUL-03,01-AUG-04,01-SEP-04,01-APR-12,,,"N","FRANKLIN","Non-MSA","Y","Y","Y"
81502016,8150,2016,"ME0060000","ME0060000","","N","N",,"I","KENNEBEC","KENNEBEC CO SO AUGUSTA","Kennebec","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","County",50327,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",19,0,19,1,3,4,0,0,01-JUL-03,01-APR-06,,01-APR-12,,,"N","KENNEBEC","Non-MSA","Y","Y","Y"
81512016,8151,2016,"ME0060100","ME0060100","","N","N",,"I","AUGUSTA","AUGUSTA PD","Augusta","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",18347,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",39,9,48,4,6,10,0,0,01-JUL-03,01-APR-07,,01-APR-12,,,"N","KENNEBEC","Non-MSA","Y","Y","Y"
