"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,126579013,111711259,2,5,31,"M",1,,31,0
2018,126579017,111711259,4,5,23,"M",1,,23,0
2018,126579023,111702709,1,5,18,"M",1,,18,0
2018,126594810,111706225,1,5,57,"M",1,,57,0
2018,126585942,111702725,1,5,34,"M",1,,34,0
2018,126579050,111702732,1,5,22,"M",1,,22,0
2018,126594854,111702760,1,5,46,"F",1,,46,0
2018,126594861,111706266,1,5,41,"F",1,,41,0
2018,126585997,111706266,2,5,41,"M",1,,41,0
2018,126594876,111702775,2,5,16,"M",1,,16,0
2018,126579104,111702775,1,5,16,"M",1,,16,0
2018,126586015,111702782,1,5,43,"M",1,,43,0
2018,126586043,111702797,0,,,"",,,,
2018,126586284,111711583,1,5,35,"F",1,,35,0
2018,126595107,111706492,0,,,"",,,,
2018,126595126,111706511,0,,,"",,,,
2018,126579539,111711635,1,5,32,"M",1,,32,0
2018,126599641,111711690,2,5,16,"M",1,,16,0
2018,126599640,111711690,1,5,16,"M",1,,16,0
2018,126599663,111703192,1,5,57,"M",1,,57,0
2018,126586426,111703192,2,5,40,"M",1,,40,0
2018,126586495,111703266,0,,,"",,,,
2018,126599769,111706680,1,5,29,"M",1,2,29,0
2018,126600139,111712087,0,,,"",,,,
2018,126595558,111703599,0,,,"",,,,
2018,126595565,111706907,2,5,23,"M",1,,23,0
2018,126586857,111712101,4,5,51,"M",1,,51,0
2018,126600162,111703614,0,,,"",,,,
2018,126600170,111712117,8,5,29,"F",1,,29,0
2018,126600186,111712131,4,5,19,"M",1,,19,0
2018,126595592,111712131,2,5,20,"M",1,,20,0
2018,126600200,111703649,3,5,27,"M",0,,27,0
2018,126595605,111703657,0,,,"",,,,
2018,126600218,111703662,2,5,26,"M",1,,26,0
2018,126600257,111706972,0,,,"",,,,
2018,126600261,111703693,0,,,"",,,,
2018,126586979,111703743,2,5,16,"M",1,,16,0
2018,126595756,111703870,2,5,43,"F",1,,43,0
2018,126600423,111703870,1,5,39,"M",1,,39,0
2018,126587108,111707086,1,5,21,"M",1,,18,25
2018,126600512,111707118,0,,,"",,,,
2018,126600528,111703971,1,5,25,"M",1,,25,0
2018,126595873,111704026,1,5,65,"M",1,,65,0
2018,126587277,111704029,1,5,43,"M",1,,43,0
2018,126595877,111704031,2,5,40,"M",1,,40,0
2018,126595876,111704031,1,5,41,"F",1,,41,0
2018,126595889,111712440,1,5,31,"M",1,,31,0
2018,126600611,111704039,1,5,50,"F",1,,50,0
2018,126587288,111704039,2,5,52,"M",4,,52,0
2018,126600628,111704053,1,5,70,"M",1,2,70,0
2018,126600639,111712468,1,5,20,"M",1,,20,0
2018,126600660,111704078,1,5,40,"M",1,,40,0
2018,126587354,111707228,1,5,44,"M",1,2,44,0
2018,126587377,111704117,1,5,46,"M",2,,46,0
2018,126595956,111704117,3,5,16,"M",1,,16,0
2018,126587378,111704117,2,5,16,"M",1,,16,0
2018,126595960,111704123,2,5,31,"F",1,,31,0
2018,126600721,111704123,1,5,36,"M",1,,36,0
2018,126588040,111704711,0,,,"",,,,
2018,126588051,111713098,1,5,62,"M",1,,62,0
2018,126579034,111702717,0,,,"",,,,
2018,126594794,111706218,0,,,"",,,,
2018,126579037,111702719,1,5,50,"F",1,,50,0
2018,126585935,111711286,0,,,"",,,,
2018,126579056,111702737,1,5,24,"F",1,,24,0
2018,126594840,111706245,1,5,56,"M",1,,56,0
2018,126579093,111706260,1,5,17,"M",1,,17,0
2018,126585994,111706260,2,5,16,"M",1,,16,0
2018,126586002,111706274,1,5,49,"M",1,,49,0
2018,126594877,111706277,1,5,33,"M",1,,33,0
2018,126586023,111711352,1,5,35,"M",1,,35,0
2018,126579454,111703026,1,5,82,"M",1,,82,0
