"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2017,96642534,90855221,4,,
2017,96642807,90855542,7,,
2017,96642947,90855700,7,,
2017,96643027,90855790,1,,
2017,96643102,90855870,4,,
2017,96643159,90855942,6,,
2017,96643208,90855987,7,,
2017,95717859,89865408,7,,
2017,95717945,89865504,7,,
2017,95718517,89866102,7,,
2017,95718562,89866158,7,,
2017,95718647,89866243,7,,
2017,95718787,89866413,7,,
2017,95718958,89866579,4,,
2017,95718961,89866579,1,,
2017,95718995,89866614,4,,
2017,95719042,89866660,5,,
2017,95719050,89866660,7,,
2017,95719111,89866726,7,,
2017,95719295,89866914,7,,
2017,95719621,89867265,1,,
2017,95719638,89867284,4,,
2017,95719646,89867284,7,,
2017,95719744,89867384,7,,
2017,95719739,89867384,4,,
2017,95720017,89867681,5,,
2017,95720022,89867681,7,,
2017,95720162,89867831,1,,
2017,95720183,89867852,1,,
2017,95720227,89867896,7,,
2017,96246048,90421519,7,,
2017,96246201,90421664,7,,
2017,96246213,90421678,4,,
2017,96246226,90421698,6,,
2017,96246262,90421728,7,,
2017,96246252,90421728,5,,
2017,96246328,90421814,7,,
2017,96246485,90421999,7,,
2017,96246526,90422044,4,,
2017,96246568,90422087,7,,
2017,96246560,90422087,5,,
2017,96246658,90422194,5,,
2017,96246664,90422194,7,,
2017,96246671,90422205,7,,
2017,96246689,90422226,7,,
2017,96246686,90422226,4,,
2017,96246724,90422272,6,,
2017,96246781,90422329,7,,
2017,96246777,90422329,4,,
2017,96246887,90422443,7,,
2017,96246903,90422467,4,,
2017,96247049,90422628,3,,
2017,96247079,90422663,4,,
2017,96247081,90422663,7,,
2017,96247303,90422907,7,,
2017,96247369,90422987,7,,
2017,96247827,90423515,7,,
2017,96247879,90423566,4,,
2017,96247977,90423669,4,,
2017,96248012,90423706,7,,
2017,96248085,90423783,7,,
2017,96248083,90423783,4,,
2017,96248156,90423858,7,,
2017,97080533,91335028,4,,
2017,96246853,90422413,5,,
2017,96246957,90422521,7,,
2017,96247073,90422650,7,,
2017,96247110,90422702,6,,
2017,96247300,90422904,7,,
2017,96247392,90423013,7,,
2017,96247437,90423070,6,,
2017,96247521,90423182,7,,
2017,96247520,90423182,5,,
2017,96247932,90423639,4,,
2017,96247937,90423639,7,,
2017,96248010,90423704,7,,
2017,96246130,90421604,4,,
2017,96246132,90421604,7,,
2017,96246131,90421604,5,,
2017,96246345,90421832,1,,
2017,96246372,90421866,5,,
2017,96246374,90421866,7,,
2017,96246465,90421980,5,,1
2017,96246466,90421980,7,1,
2017,96246509,90422022,7,,
2017,96246571,90422092,7,,
2017,96246594,90422116,4,,
2017,96246610,90422131,7,,
2017,96246715,90422257,4,,
2017,96246805,90422359,4,,
2017,96247061,90422641,7,,
2017,96247099,90422691,4,,
2017,96247138,90422736,1,,
2017,96247188,90422788,4,,
2017,96247213,90422824,4,,
2017,96247221,90422824,7,,
2017,96247499,90423155,7,,
2017,96247804,90423489,7,,
2017,96248145,90423849,6,,
2017,96248171,90423875,7,,
2017,95717533,89865055,4,,
2017,95717752,89865317,4,,
2017,95717771,89865317,7,,
2017,95717866,89865426,5,,1
2017,95717877,89865426,7,1,
2017,95718020,89865579,5,,
2017,95718022,89865579,7,,
2017,95718747,89866355,4,,
2017,95718885,89866496,4,,
2017,95719082,89866698,7,,
2017,95719251,89866865,4,,
2017,95719513,89867145,4,,
2017,95720209,89867873,7,,
2017,95720205,89867897,4,,
2017,95720226,89867897,7,,
2017,95963834,90122627,7,,
2017,95963831,90122627,5,,
2017,95963922,90122734,4,,
2017,95964005,90122829,7,,
2017,95964062,90122890,4,,
2017,95964065,90122890,7,,
2017,95964097,90122931,7,,
2017,95964134,90122974,7,,
2017,95964159,90122999,4,,
2017,95964162,90122999,7,,
2017,95964211,90123059,4,,
