agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
177,AL0160300,AL0160300,Grove Hill Police Department,Grove Hill,1,City,,,171,Grove Hill,2,AL,47,Clarke,01025,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1976,,2016,2013,,1496,7,"Cities under 2,500",L,N,N,10,0,5,,,,2016,5,0,36451,31.685521,-87.818624
366,AL0480300,AL0480300,Thomaston Police Department,Thomaston,1,City,,,321,Thomaston,2,AL,80,Marengo,01091,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1976,,2016,2013,,396,7,"Cities under 2,500",L,N,N,8,0,1,,,,2016,1,0,36783,32.247591,-87.791091
268,AL0310800,AL0310800,Sardis City Police Department,Sardis City,1,City,,,73,Boaz,2,AL,62,Etowah,01055,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1976,,2016,2013,,1750,7,"Cities under 2,500",L,Y,N,12,0,10,,,,2016,4,0,35956,34.047648,-86.034522
197,AL0200500,AL0200500,Leighton Police Department,Leighton,1,City,,,211,Leighton,2,AL,51,Colbert,01033,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1974,,2016,2013,,715,7,"Cities under 2,500",L,Y,N,12,0,9,,,,2015,2,0,35646,34.703112,-87.801457
58,AL0010900,AL0010900,Vestavia Hills Police Department,Vestavia Hills,1,City,,,71,Birmingham,2,AL,71,Jefferson,01073,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1960,,2016,2013,,34143,4,"Cities from 25,000 thru 49,999",L,Y,N,12,0,10,,,,2014,82,2,35266,33.553444,-86.896536
460,AL0620300,AL0620300,Camp Hill Police Department,Camp Hill,1,City,,,85,Camp Hill,2,AL,96,Tallapoosa,01123,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1974,,2016,2013,,987,7,"Cities under 2,500",L,N,N,12,0,6,,,,2013,6,0,36850,32.863369,-85.799553
418,AL0570100,AL0570100,Phenix City Police Department,Phenix City,1,City,,,270,Phenix City,2,AL,91,Russell,01113,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1960,,2016,2013,,38723,4,"Cities from 25,000 thru 49,999",L,Y,N,12,0,10,,,,2016,84,24,36867,32.289811,-85.18698
154,AL0110800,AL0110800,Jacksonville State University,Jacksonville State University,3,University or College,,280,,,2,AL,42,Calhoun,01015,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1981,,2016,2013,,0,7,"Cities under 2,500",L,Y,N,12,0,10,,,,2016,13,5,36265,33.771706,-85.822513
181,AL0170100,AL0170100,Ashland Police Department,Ashland,1,City,,,58,Ashland,2,AL,48,Clay,01027,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1974,,2016,2013,,1972,7,"Cities under 2,500",L,N,N,12,0,10,,,,2016,9,5,36251,33.267809,-85.862051
169,AL0150100,AL0150100,Butler Police Department,Butler,1,City,,,82,Butler,2,AL,46,Choctaw,01023,A,23354,ALUCR0001,Alabama Criminal Justice Information Center,AL,1976,,2016,2013,,1802,7,"Cities under 2,500",L,N,N,12,0,10,,,,2016,7,0,36904,31.990997,-88.248908
