agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
2190,CT0012800,CT0012800,Simsbury Police Department,Simsbury,1,City,,,1281,Simsbury,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,24093,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,37,10,06070,41.806053,-72.732916
2145,CT0005100,CT0005100,Fairfield Police Department,Fairfield,1,City,,,1237,Fairfield,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,61762,3,"Cities from 50,000 thru 99,000",L,N,N,12,12,10,,,,2016,107,6,06430,41.227399,-73.366523
2142,CT0004600,CT0004600,Easton Police Department,Easton,1,City,,,1235,Easton,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1974,,2016,2013,2016,7663,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,15,2,06612,41.227399,-73.366523
2196,CT0013700,CT0013700,Stonington Police Department,Stonington,1,City,,,1270,Pawcatuck,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,18505,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,37,11,06379,41.472651,-72.108633
2209,CT0015700,CT0015700,Weston Police Department,Weston,1,City,,,1300,Weston,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1977,,2016,2013,2016,10437,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,16,1,06883,41.227399,-73.366523
2223,CT0019000,CT0019000,Central Connecticut State University,Central Connecticut State University,3,University or College,,105,,,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1977,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,19,7,06050,41.806053,-72.732916
2239,CTCSP0000,CTCSP0000,Connecticut State Police,Connecticut State Police,4,State Police,,,,,8,CT,3311,,,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,509419,8A,"Non-MSA counties 100,000 or over",L,N,N,12,12,10,,,,2016,1060,238,06457,41.349717,-72.900204
2147,CT0005400,CT0005400,Glastonbury Police Department,Glastonbury,1,City,,,1239,Glastonbury,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,34832,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,57,18,06033,41.806053,-72.732916
2172,CT0009700,CT0009700,Newtown Police Department,Newtown,1,City,,,1263,Newtown,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1977,,2016,2013,2016,28291,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,44,4,06470,41.227399,-73.366523
2183,CT0011500,CT0011500,Prospect Police Department,Prospect,1,City,,,1274,Prospect,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1997,,2016,2014,2003,9794,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,,,,06712,41.349717,-72.900204
2235,CT007SP00,CT007SP00,State Police Tolland,Tolland,4,State Police,,,1289,Tolland,8,CT,325,Tolland,09013,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2014,2003,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,,,,06084,41.858081,-72.340978
2200,CT0014300,CT0014300,Torrington Police Department,Torrington,1,City,,,1290,Torrington,8,CT,321,Litchfield,09005,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,34910,4,"Cities from 25,000 thru 49,999",L,N,N,12,12,10,,,,2016,76,11,06790,41.791883,-73.235404
2234,CT006SP00,CT006SP00,State Police New London,New London,4,State Police,,,1292,Uncasville,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2014,2003,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,,,,06382,41.472651,-72.108633
2207,CT0015500,CT0015500,West Hartford Police Department,West Hartford,1,City,,,1298,West Hartford,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,63301,3,"Cities from 50,000 thru 99,000",L,N,Y,12,12,10,,,,2016,128,18,06107,41.806053,-72.732916
2135,CT0003400,CT0003400,Danbury Police Department,Danbury,1,City,,,1227,Danbury,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2014,2016,84404,3,"Cities from 50,000 thru 99,000",L,N,Y,12,12,10,,,,2016,146,5,06810,41.227399,-73.366523
2156,CT0007000,CT0007000,Ledyard Police Department,Ledyard,1,City,,,1214,Ansonia,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,2016,2016,2014,2003,0,7,"Cities under 2,500",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,,,,06339,41.472651,-72.108633
2165,CT0008800,CT0008800,Naugatuck Police Department,Naugatuck,1,City,,,1256,Naugatuck,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,31603,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,57,11,06770,41.349717,-72.900204
2182,CT0011300,CT0011300,Portland Police Department,Portland,1,City,,,1273,Portland,8,CT,322,Middlesex,09007,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,,,9430,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,11,1,06480,41.434525,-72.524227
2173,CT0009900,CT0009900,North Branford Police Department,North Branford,1,City,,,1264,North Branford,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1977,,2016,2013,2016,14300,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,22,5,06471,41.349717,-72.900204
2163,CT0008500,CT0008500,Monroe Police Department,Monroe,1,City,,,1255,Monroe,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,19958,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,43,13,06468,41.227399,-73.366523
2166,CT0008900,CT0008900,New Britain Police Department,New Britain,1,City,,,1257,New Britain,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,,,72788,3,"Cities from 50,000 thru 99,000",L,N,N,12,0,10,,,,2016,161,8,06051,41.806053,-72.732916
2134,CT0003300,CT0003300,Cromwell Police Department,Cromwell,1,City,,,1226,Cromwell,8,CT,322,Middlesex,09007,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,14141,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,25,8,06416,41.434525,-72.524227
2148,CT0005600,CT0005600,Granby Police Department,Granby,1,City,,,1240,Granby,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1962,,2016,2013,2016,11317,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,15,5,06035,41.806053,-72.732916
2151,CT0005900,CT0005900,Groton Police Department,Groton,1,City,,,1242,Groton,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,9278,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,27,7,06340,41.472651,-72.108633
2237,CT00A5900,CT00A5900,Groton Town Police Department,Groton Town,1,City,,,1242,Groton,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,30387,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,59,5,06340,41.472651,-72.108633
2217,CT0016600,CT0016600,Wolcott Police Department,Wolcott,1,City,,,1308,Wolcott,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,16719,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,23,9,06716,41.349717,-72.900204
2120,CT0000200,CT0000200,Ansonia Police Department,Ansonia,1,City,,,1214,Ansonia,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,18887,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,42,7,06401,41.349717,-72.900204
2193,CT0013300,CT0013300,Sprague Police Department,Sprague,1,City,,,1253,Middletown,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1962,,2016,2014,2003,2979,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,1970,,,06457,41.472651,-72.108633
2228,CT001SP00,CT001SP00,State Police Fairfield,Fairfield,4,State Police,,,1219,Bridgeport,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2014,2003,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,,,,06824,41.227399,-73.366523
2227,CT0019400,CT0019400,Southern Connecticut State University,Southern Connecticut State University,3,University or College,,544,,,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1988,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,27,6,06515,41.349717,-72.900204
2155,CT0006900,CT0006900,Danielson Police Department,Danielson,1,City,,,1245,Hartford,8,CT,326,Windham,09015,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2014,2003,3986,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,0,2239,CTCSP0000,Connecticut State Police,1986,9,1,06101,41.824999,-71.990702
2185,CT0011700,CT0011700,Redding Police Department,Redding,1,City,,,1276,Redding,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,2002,,2016,2013,2016,9344,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,17,6,06896,41.227399,-73.366523
2143,CT0004700,CT0004700,East Windsor Police Department,East Windsor,1,City,,,1234,East Windsor,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,11483,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,26,8,06088,41.806053,-72.732916
2211,CT0015900,CT0015900,Wethersfield Police Department,Wethersfield,1,City,,,1302,Wethersfield,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,26390,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,48,13,06109,41.806053,-72.732916
2131,CT0002500,CT0002500,Cheshire Police Department,Cheshire,1,City,,,1222,Cheshire,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,29245,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,47,12,06410,41.349717,-72.900204
2212,CT0016100,CT0016100,Wilton Police Department,Wilton,1,City,,,1304,Wilton,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,18851,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,45,2,06897,41.227399,-73.366523
2153,CT0006200,CT0006200,Hamden Police Department,Hamden,1,City,,,1244,Hamden,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,61372,3,"Cities from 50,000 thru 99,000",L,N,N,12,12,10,,,,2016,108,27,06518,41.349717,-72.900204
2216,CT0016500,CT0016500,Windsor Locks Police Department,Windsor Locks,1,City,,,1306,Windsor Locks,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,12580,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,25,7,06096,41.806053,-72.732916
2218,CT0016700,CT0016700,Woodbridge Police Department,Woodbridge,1,City,,,1309,Woodbridge,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,8907,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,23,8,06525,41.349717,-72.900204
2181,CT0011100,CT0011100,Plymouth Police Department,Plymouth,1,City,,,1287,Terryville,8,CT,321,Litchfield,09005,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,11837,5,"Cities from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,24,6,06786,41.791883,-73.235404
2174,CT0010100,CT0010100,North Haven Police Department,North Haven,1,City,,,1265,North Haven,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,23865,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,49,9,06473,41.349717,-72.900204
2169,CT0009400,CT0009400,Newington Police Department,Newington,1,City,,,1262,Newington,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,,,30714,4,"Cities from 25,000 thru 49,999",L,Y,N,12,3,10,,,,2016,51,13,06111,41.806053,-72.732916
2206,CT0015300,CT0015300,Watertown Police Department,Watertown,1,City,,,1297,Watertown,8,CT,321,Litchfield,09005,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,21931,5,"Cities from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,39,9,06795,41.791883,-73.235404
2180,CT0011000,CT0011000,Plainville Police Department,Plainville,1,City,,,1272,Plainville,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,,,17820,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,37,8,06062,41.806053,-72.732916
2170,CT0009500,CT0009500,New London Police Department,New London,1,City,,,1260,New London,8,CT,324,New London,09011,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,27312,4,"Cities from 25,000 thru 49,999",L,N,Y,12,12,10,,,,2016,77,15,06320,41.472651,-72.108633
2198,CT0013900,CT0013900,Suffield Police Department,Suffield,1,City,,,1286,Suffield,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,15823,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,17,5,06078,41.806053,-72.732916
2128,CT0001700,CT0001700,Bristol Police Department,Bristol,1,City,,,1220,Bristol,8,CT,320,Hartford,09003,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,60593,3,"Cities from 50,000 thru 99,000",L,N,N,12,12,10,,,,2016,118,25,06010,41.806053,-72.732916
2159,CT0008000,CT0008000,Meriden Police Department,Meriden,1,City,,,1251,Meriden,8,CT,323,New Haven,09009,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,,,60149,3,"Cities from 50,000 thru 99,000",L,N,N,12,0,10,,,,2016,113,12,06451,41.349717,-72.900204
2189,CT0012600,CT0012600,Shelton Police Department,Shelton,1,City,,,1280,Shelton,8,CT,319,Fairfield,09001,A,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,CT,1960,,2016,2013,2016,41724,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,52,9,06484,41.227399,-73.366523
