"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,12,118240724,21072517
2018,12,118240731,21072521
2018,12,118240978,21072564
2018,12,118240869,21072541
2018,3,118240785,21072530
2018,12,118240896,21072548
2018,12,118240891,21072547
2018,19,118240931,21072553
2018,3,118240923,21072551
2018,12,118240895,21072549
2018,3,118240935,21072554
2018,12,118240977,21072563
2018,12,118241017,21072569
2018,12,118962943,21225573
2018,2,118962871,21225560
2018,12,118962916,21225567
2018,12,118963067,21225594
2018,12,118962877,21225561
2018,12,118963007,21225582
2018,12,118962932,21225571
2018,12,118963065,21225593
2018,20,126843892,23015287
2018,12,126839116,23019164
2018,12,126849000,23019170
2018,12,118962973,21225577
2018,2,118963010,21225584
2018,2,118963009,21225583
2018,12,118240726,21072519
2018,12,118240974,21072560
2018,12,118240786,21072531
2018,12,118240926,21072552
2018,3,118240807,21072533
2018,12,118240730,21072520
2018,12,118240776,21072528
2018,12,118240880,21072545
2018,12,118240942,21072556
2018,12,118240950,21072558
2018,12,118240784,21072529
2018,3,118241005,21072567
2018,12,118240821,21072535
2018,2,118240756,21072526
2018,3,118240800,21072532
2018,12,118240872,21072543
2018,12,118963070,21225595
2018,12,118962986,21225578
2018,12,118962966,21225575
2018,12,118963035,21225586
2018,12,118963030,21225585
2018,12,118240747,21072524
2018,12,118240842,21072538
2018,12,118240867,21072540
2018,12,118240943,21072557
2018,12,118240886,21072546
2018,12,118240976,21072561
2018,20,124805736,22534833
2018,20,124801282,22535484
2018,20,124801301,22529817
2018,20,124801312,22529819
2018,12,130261197,23836753
2018,12,118962992,21225579
2018,12,118963096,21225600
2018,12,118962955,21225574
2018,12,118962994,21225580
2018,12,118962863,21225558
2018,12,118962918,21225568
2018,12,118240956,21072559
2018,12,118240824,21072537
2018,12,118240877,21072544
2018,12,118240823,21072536
2018,12,118240915,21072550
2018,12,118240941,21072555
2018,12,118240806,21072534
2018,20,137664937,25787384
2018,12,118962920,21225569
2018,12,118963002,21225581
2018,12,118963062,21225591
2018,12,118962970,21225576
2018,12,118963074,21225596
2018,12,118962887,21225563
2018,12,118963056,21225590
2018,9,118962864,21225559
2018,12,118963041,21225587
2018,2,118963066,21225592
2018,12,118963082,21225598
2018,12,120785435,21606187
2018,12,120785620,21606221
2018,12,120785506,21606200
2018,12,120785539,21606207
2018,20,120341989,21516309
2018,20,120342115,21516329
2018,12,120785324,21606169
2018,12,120785497,21606199
2018,19,120785626,21606225
2018,12,120342156,21516337
2018,12,120342001,21516312
2018,20,120342013,21516315
2018,12,120342176,21516342
2018,12,120341991,21516310
2018,12,120342121,21516331
2018,12,120342200,21516346
2018,12,120785286,21606159
2018,12,120785346,21606172
2018,20,120785434,21606186
2018,22,120785284,21606158
2018,12,120785299,21606163
2018,12,120785518,21606203
2018,12,120785637,21606227
2018,20,120341976,21516306
2018,20,120342035,21516317
2018,12,120341972,21516305
2018,12,120785472,21606195
2018,12,120785649,21606229
2018,18,124801254,22529813
2018,12,130271138,23846747
2018,12,124797816,22534844
2018,12,124797835,22535486
2018,3,124797756,22529811
2018,12,126825206,23018562
2018,12,126835157,23018565
2018,20,126825439,23014735
2018,12,126839001,23011341
2018,2,126839106,23011360
2018,12,126344274,22904597
2018,12,126347276,22907224
2018,22,126340373,22911952
2018,12,124801236,22535477
2018,12,124805805,22534843
2018,12,124805746,22534835
2018,20,124805755,22535476
2018,12,124801250,22529812
2018,20,124805822,22534846
2018,20,124801317,22529821
2018,12,133844995,24725159
2018,12,133850601,24719992
2018,3,126835211,23014716
2018,3,126838980,23011337
2018,22,126843893,23011340
2018,12,126839015,23015289
2018,20,126843919,23011352
2018,12,126848927,23011358
2018,12,126848933,23019162
2018,12,126848959,23019163
2018,12,126848999,23019169
2018,12,126344298,22907225
2018,20,126340349,22911946
2018,3,126347258,22907220
2018,12,126340378,22907229
2018,12,126340385,22911953
2018,2,126344345,22904609
2018,12,124797777,22535479
2018,12,126347285,22904602
2018,12,126340358,22911947
2018,20,126347263,22904600
2018,20,126347287,22904603
2018,18,126830289,23014708
2018,20,126835160,23018566
2018,18,126830313,23010781
2018,20,126835262,23018585
2018,12,126835273,23014725
2018,12,126830413,23014724
2018,12,126825467,23018596
2018,18,126825512,23010818
2018,12,126835137,23010771
2018,12,126825244,23010778
2018,12,126825361,23010799
2018,20,126830420,23014726
2018,19,126830500,23010819
2018,12,126838988,23011338
2018,12,126838974,23015285
2018,12,126839009,23011344
2018,18,126839017,23011350
2018,18,126843921,23015291
2018,20,126839074,23019160
2018,12,126848980,23015304
2018,12,126835251,23018582
2018,12,124805833,22529822
2018,12,130261156,23846749
2018,12,126835131,23018561
2018,19,126835266,23010805
2018,12,126825412,23010807
2018,20,124801234,22534837
2018,12,126340329,22904605
2018,12,126848967,23019165
2018,4,126825222,23014706
2018,12,126835316,23018593
2018,12,126843897,23011343
2018,12,126843917,23019155
2018,12,126848953,23011361
2018,12,124805743,22534834
2018,12,140148605,26792966
2018,12,118240754,21072525
2018,12,118240865,21072539
2018,12,118240871,21072542
2018,12,118240975,21072562
2018,12,120785196,21606146
2018,18,120785311,21606166
2018,12,120785366,21606175
2018,12,120785427,21606184
2018,20,120785429,21606185
2018,20,120785537,21606206
2018,12,120785553,21606210
2018,20,126825212,23018563
2018,18,126835272,23018587
2018,12,126825452,23014738
2018,12,126839045,23015293
2018,12,124801219,22535473
2018,20,124801222,22535475
2018,12,126344356,22904610
2018,20,124805751,22534836
2018,12,126340391,22911954
2018,12,126340416,22907231
2018,20,126344336,22911950
2018,18,124801284,22529816
2018,12,126347320,22911948
2018,12,124797784,22535480
2018,3,118962942,21225572
2018,9,118963050,21225589
2018,12,118963048,21225588
2018,12,118240725,21072518
2018,20,124801273,22529815
2018,12,126340343,22911945
2018,18,126340372,22911951
2018,12,124797786,22535481
2018,12,124797794,22535482
