"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,116616130,106056071,1,4,,,,5,70,"F",1,2,"N",70,0
2018,116606164,106051103,1,1,,,,,,"",,,"",,
2018,116611170,106051113,1,4,,,,5,32,"M",1,3,"R",32,0
2018,106622152,97306863,1,4,,,,5,53,"F",1,2,"N",53,0
2018,106622170,97306880,1,4,,,,5,20,"M",1,2,"R",20,0
2018,106622208,97306918,1,4,,,,5,35,"M",1,2,"R",35,0
2018,106622282,97306988,1,4,,,,5,27,"F",1,2,"R",27,0
2018,106622315,97307020,1,4,,,,5,37,"F",1,2,"R",37,0
2018,106622153,97306862,2,4,,,,5,45,"M",1,2,"R",45,0
2018,106622151,97306862,1,4,,,,5,44,"F",1,2,"R",44,0
2018,106622225,97306935,1,1,,,,,,"",,,"",,
2018,106622231,97306939,1,4,,,,5,20,"M",4,2,"N",20,0
2018,106622264,97306971,1,4,,,,5,30,"F",2,2,"R",30,0
2018,106622311,97307015,1,4,,,,5,64,"F",1,2,"N",64,0
2018,106622322,97307027,1,4,,,,5,23,"F",2,2,"R",23,0
2018,106622351,97307055,1,4,,,,5,31,"M",1,2,"R",31,0
2018,106622359,97307063,1,4,,,,5,34,"M",1,2,"R",34,0
2018,106622368,97307072,1,4,,,,5,25,"F",1,2,"R",25,0
2018,106622146,97306857,1,4,,,,5,18,"F",1,1,"R",18,0
2018,106622147,97306859,1,4,,,,5,30,"F",2,2,"N",30,0
2018,106622165,97306874,1,4,,,,5,30,"F",1,2,"N",30,0
2018,106622169,97306879,1,4,,,,5,27,"M",1,2,"N",27,0
2018,106622184,97306894,1,8,,,,,,"",,,"",,
2018,106622191,97306902,1,4,,,,5,33,"M",2,2,"N",33,0
2018,106622205,97306915,1,4,,,,5,32,"M",2,2,"R",32,0
2018,106622273,97306980,1,4,,,,5,63,"M",1,2,"N",63,0
2018,106622321,97307026,1,4,,,,5,48,"M",1,2,"R",48,0
2018,106622328,97307032,1,1,,,,,,"",,,"",,
2018,106622339,97307043,1,4,,,,5,34,"F",1,2,"N",34,0
2018,106622144,97306855,1,4,,,,5,26,"M",2,2,"R",26,0
2018,106622214,97306924,1,4,,,,5,52,"M",1,2,"R",52,0
2018,106622224,97306934,1,4,,,,5,74,"M",1,3,"R",74,0
2018,106622237,97306945,1,4,,,,5,19,"M",2,2,"R",19,0
2018,106622275,97306983,1,4,,,,5,32,"F",1,2,"R",32,0
2018,106622277,97306983,2,4,,,,5,42,"M",1,2,"N",42,0
2018,106622313,97307016,1,1,,,,,,"",,,"",,
2018,106622329,97307034,1,4,,,,5,21,"M",1,2,"N",21,0
2018,106622338,97307042,1,4,,,,5,19,"F",2,2,"R",19,0
2018,106622354,97307059,1,1,,,,,,"",,,"",,
2018,106622278,97306984,1,4,,,,5,44,"F",1,2,"R",44,0
2018,106622348,97307053,1,4,,,,5,29,"M",1,2,"R",29,0
2018,106622158,97306869,1,4,,,,5,55,"F",2,2,"R",55,0
2018,106622179,97306893,1,4,,,,5,20,"M",1,2,"R",20,0
2018,106622202,97306913,1,4,,,,5,51,"F",2,2,"R",51,0
2018,106622209,97306919,1,1,,,,,,"",,,"",,
2018,106622343,97307048,1,4,,,,5,43,"M",2,2,"R",43,0
2018,106622366,97307070,1,4,,,,5,40,"F",1,2,"R",40,0
2018,106622140,97306851,1,4,,,,5,34,"F",2,2,"R",34,0
2018,106622161,97306871,1,4,,,,5,41,"F",1,2,"R",41,0
2018,106622188,97306898,1,4,,,,4,,"M",3,2,"R",,
2018,106622198,97306906,1,4,,,,5,27,"F",2,2,"R",27,0
2018,106622246,97306954,1,4,,,,5,19,"M",2,2,"R",19,0
2018,106622262,97306970,1,4,,,,5,26,"F",2,2,"N",26,0
2018,106622283,97306989,1,4,,,,5,67,"M",1,2,"R",67,0
2018,106622304,97307010,1,4,,,,5,42,"F",0,1,"R",42,0
2018,106622319,97307024,1,4,,,,5,25,"F",2,2,"R",25,0
2018,106622349,97307056,1,4,,,,5,35,"F",2,2,"R",35,0
2018,116606148,106051090,1,1,,,,,,"",,,"",,
2018,116606158,106056086,1,4,,,,5,47,"M",1,2,"R",47,0
2018,112573324,102560826,1,4,,,,5,22,"F",2,2,"R",22,0
2018,112573338,102560838,1,4,,,,5,46,"F",1,2,"R",46,0
2018,112577824,102560843,1,1,,,,,,"",,,"",,
2018,112581931,102565201,1,4,,,,5,18,"M",2,2,"R",18,0
2018,112577852,102560877,1,1,,,,,,"",,,"",,
2018,112577880,102565245,1,1,,,,,,"",,,"",,
2018,112573398,102565258,1,4,,,,5,41,"M",1,2,"R",41,0
2018,112573402,102565261,1,4,,,,5,57,"M",2,2,"R",57,0
2018,112573418,102555807,1,4,,,,5,51,"M",0,2,"R",51,0
