"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,106651267,97332344,1,4,,,,5,21,"F",1,2,"U",21,0
2017,106651990,97332968,1,4,,,,5,32,"F",2,2,"N",32,0
2017,106654579,97335213,1,1,,,,,,"",,,"",,
2017,106661478,97341326,1,8,,,,,,"",,,"",,
2017,106661121,97340993,1,8,,,,,,"",,,"",,
2017,106662787,97342494,1,8,,,,,,"",,,"",,
2017,106662984,97342656,1,8,,,,,,"",,,"",,
2017,106663024,97342694,1,8,,,,,,"",,,"",,
2017,106663936,97343516,2,4,,,,4,,"U",0,,"U",,
2017,106663934,97343516,1,8,,,,,,"",,,"",,
2017,106668523,97347514,1,4,,,,5,9,"F",1,,"R",9,0
2017,106672853,97351330,1,4,,,,5,66,"F",1,,"U",66,0
2017,106672865,97351342,1,8,,,,,,"",,,"",,
2017,106673469,97351895,1,8,,,,,,"",,,"",,
2017,106673051,97351513,1,8,,,,,,"",,,"",,
2017,106673723,97352137,1,8,,,,,,"",,,"",,
2017,106652026,97333000,1,4,,,,5,69,"F",1,2,"R",69,0
2017,106658803,97338981,1,4,,,,5,42,"F",0,,"U",42,0
2017,106660855,97340756,1,8,,,,,,"",,,"",,
2017,106660705,97340639,1,8,,,,,,"",,,"",,
2017,106661150,97341016,1,4,,,,5,61,"M",1,,"U",61,0
2017,106661334,97341187,1,8,,,,,,"",,,"",,
2017,106661498,97341344,1,8,,,,,,"",,,"",,
2017,106661585,97341421,1,8,,,,,,"",,,"",,
2017,106662540,97342277,1,8,,,,,,"",,,"",,
2017,106662578,97342314,1,8,,,,,,"",,,"",,
2017,106662919,97342602,1,8,,,,,,"",,,"",,
2017,106662976,97342661,1,8,,,,,,"",,,"",,
2017,106665199,97344605,1,8,,,,,,"",,,"",,
2017,106666870,97346047,1,4,,,,5,9,"F",1,3,"U",9,0
2017,106668220,97347249,1,8,,,,,,"",,,"",,
2017,106670232,97348998,1,8,,,,,,"",,,"",,
2017,106670423,97349177,1,8,,,,,,"",,,"",,
2017,106670593,97349328,1,8,,,,,,"",,,"",,
2017,106670903,97349597,1,8,,,,,,"",,,"",,
2017,106671286,97349909,1,8,,,,,,"",,,"",,
